BOOK_ID,TITLE,BOOK,ORDER,VIDEO_ID
1,Read Scripture: Genesis Ch. 1-11,Genesis,1,GQI72THyO5I
1,Read Scripture: Genesis Ch. 12-50,Genesis,2,F4isSyennFo
1,The Book of Genesis Overview - Part 1 of 2,Genesis,3,KOUV7mWDI34
1,The Book of Genesis Overview - Part 2 of 2,Genesis,4,VpbWbyx1008
2,Read Scripture: Exodus Ch. 1 -18,Exodus,1,jH_aojNJM3E
2,Read Scripture: Exodus Ch. 19-40,Exodus,2,oNpTha80yyE
2,The Book of Exodus Overview - Part 1 of 2,Exodus,3,0uf-PgW7rqE
2,The Book of Exodus Overview - Part 2 of 2,Exodus,4,b0GhR-2kPKI
3,Read Scripture: Leviticus,Leviticus,1,IJ-FekWUZzE
3,The Book of Leviticus Overview,Leviticus,2,WmvyrLXoQio
4,Read Scripture: Numbers,Numbers,1,tp5MIrMZFqo
4,The Book of Numbers,Numbers,2,zebxH-5o-SQ
5,Read Scripture: Deuteronomy,Deuteronomy,1,q5QEH9bH8AU
5,The Book of Deuteronomy,Deuteronomy,2,NMhmDPWeftw
6,Read Scripture: Joshua,Joshua,1,JqOqJlFF_eU
7,Read Scripture: Judges,Judges,1,kOYy8iCfIJ4
8,Read Scripture: Ruth,Ruth,1,0h1eoBeR4Jk
9,Read Scripture: 1 Samuel,1 Samuel,1,QJOju5Dw0V0
10,Read Scripture: 2 Samuel,2 Samuel,1,YvoWDXNDJgs
11,Read Scripture: 1-2 Kings,1 Kings,1,bVFW3wbi9pk
12,Read Scripture: 1-2 Kings,2 Kings,1,bVFW3wbi9pk
13,Read Scripture: Isaiah 1-39,Isaiah,1,d0A6Uchb1F8
13,Read Scripture: Isaiah 40-66,Isaiah,2,_TzdEPuqgQg
14,Read Scripture: Hosea,Hosea,1,kE6SZ1ogOVU
15,Read Scripture: Joel,Joel,1,zQLazbgz90c
16,Read Scripture: Amos,Amos,1,mGgWaPGpGz4
17,Read Scripture: Obadiah,Obadiah,1,i4ogCrEoG5s
18,Read Scripture: Jonah,Jonah,1,dLIabZc0O4c
19,Read Scripture: Micah,Micah,1,MFEUEcylwLc
20,Read Scripture: Nahum,Nahum,1,Y30DanA5EhU
21,Read Scripture: Habakkuk,Habakkuk,1,OPMaRqGJPUU
22,Read Scripture: Zephaniah,Zephaniah,1,oFZknKPNvz8
23,Read Scripture: Job,Job,1,xQwnH8th_fs
23,The Book of Job,Job,2,GswSg2ohqmA
24,Read Scripture: Psalms,Psalms,1,j9phNEaPrv8
24,The Book of Psalms,Psalms,2,dpny22k_7uk
25,Read Scripture: Proverbs,Proverbs,1,AzmYV8GNAIM
25,The Book of Proverbs,Proverbs,2,Gab04dPs_uA
26,Read Scripture: Ecclesiastes,Ecclesiastes,1,lrsQ1tc-2wk
26,The Book of Ecclesiastes,Ecclesiastes,2,VeUiuSK81-0
27,Read Scripture: Song of Songs,The Song of Solomon,1,4KC7xE4fgOw
28,Read Scripture: Jeremiah,Jeremiah,1,RSK36cHbrk0
29,Read Scripture: Lamentations,Lamentations,2,p8GDFPdaQZQ
30,Read Scripture: Ezekiel 1-33,Ezekiel,1,R-CIPu1nko8
30,Read Scripture: Ezekiel 34-48,Ezekiel,2,SDeCWW_Bnyw
31,Read Scripture: Ezra-Nehemiah,Ezra,1,MkETkRv9tG8
32,Read Scripture: Ezra-Nehemiah,Nehemiah,1,MkETkRv9tG8
33,Read Scripture: Esther,Esther,1,JydNSlufRIs
34,Read Scripture: Daniel,Daniel,1,9cSC9uobtPM
35,Read Scripture: Haggai,Haggai,1,juPvv_xcX-U
36,Read Scripture: Zechariah,Zechariah,1,_106IfO6Kc0
37,Read Scripture: Malachi,Malachi,1,HPGShWZ4Jvk
38,Read Scripture: Chronicles,1 Chronicles,1,HR7xaHv3Ias
39,Read Scripture: Chronicles,2 Chronicles,1,HR7xaHv3Ias
40,Read Scripture: Matthew Ch. 1-13,Matthew,1,3Dv4-n6OYGI
40,Read Scripture: Matthew Ch. 14-28,Matthew,2,GGCF3OPWN14
41,Read Scripture: Mark,Mark,1,HGHqu9-DtXk
41,The Gospel According to Mark,Mark,2,OVRixfameGY
42,Read Scripture: John Ch. 1-12,John,1,G-2e9mMf7E8
42,Read Scripture: John Ch. 13-21,John,2,RUfh_wOsauk
43,Read Scripture: Luke Ch. 1-9,Luke,1,XIb_dCIxzr0
43,Read Scripture: Luke Ch. 10-24,Luke,2,26z_KhwNdD8
43,The Birth of Jesus - Gospel of Luke Ch. 1-2,Luke,3,_OLezoUvOEQ
43,Gospel of Luke Ch. 3-9,Luke,4,0k4GbvZUPuo
43,Gospel of Luke Ch. 9-19,Luke,5,jUCCUHurV0I
43,Gospel of Luke Ch. 19-23,Luke,6,_unHmAf7INk
43,Gospel of Luke Ch. 24,Luke,7,Vb24Lk1Oh5M
44,Read Scripture: Acts Ch. 1-12,Acts,1,CGbNw855ksw
44,Read Scripture: Acts Ch. 13-28,Acts,2,Z-17KxpjL0Q
44,Acts Ch. 1-7,Acts,3,JQhkWmFJKnA
44,Acts Ch. 8-12,Acts,4,oiVAbkINtRU
44,Acts Ch. 13-20,Acts,5,fglsbcGSr3A
45,Read Scripture: Romans Ch. 1-4,Romans,1,ej_6dVdJSIU
45,Read Scripture: Romans Ch. 5-16,Romans,2,0SVTl4Xa5fY
46,Read Scripture: 1 Corinthians,1 Corinthians,1,yiHf8klCCc4
47,Read Scripture: 2 Corinthians,2 Corinthians,2,3lfPK2vfC54
48,Read Scripture: Galatians,Galatians,1,vmx4UjRFp0M
49,Read Scripture: Ephesians,Ephesians,1,Y71r-T98E2Q
50,Read Scripture: Philippians,Philippians,1,oE9qqW1-BkU
51,Read Scripture: Colossians,Colossians,1,pXTXlDxQsvc
52,Read Scripture: 1 Thessalonians,1 Thessalonians,1,No7Nq6IX23c
53,Read Scripture: 2 Thessalonians,2 Thessalonians,1,kbPBDKOn1cc
54,Read Scripture: 1 Timothy,1 Timothy,1,7RoqnGcEjcs
55,Read Scripture: 2 Timothy,2 Timothy,1,urlvnxCaL00
56,Read Scripture: Titus,Titus,1,PUEYCVXJM3k
57,Read Scripture: Philemon,Philemon,1,aW9Q3Jt6Yvk
58,Read Scripture: Hebrews,Hebrews,1,1fNWTZZwgbs
59,Read Scripture: James,James,1,qn-hLHWwRYY
60,Read Scripture: 1 Peter,1 Peter,1,WhP7AZQlzCg
61,Read Scripture: 2 Peter,2 Peter,1,wWLv_ITyKYc
62,Read Scripture: 1- 3 John,1 John,1,l3QkE6nKylM
63,Read Scripture: 1- 3 John,2 John,1,l3QkE6nKylM
64,Read Scripture: 1- 3 John,3 John,1,l3QkE6nKylM
65,Read Scripture: Jude,Jude,1,6UoCmakZmys
66,Read Scripture: Revelation Ch. 1-11,Revelation,1,5nvVVcYD-0w
66,Read Scripture: Revelation Ch. 12-22,Revelation,2,QpnIrbq2bKo
